,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,pair_wins,total_wins
0,Aboleth,10.0,17,135,-1.9,3,9,12,292.0,292.0
1,Acolyte,0.25,10,9,0.1,1,2,2,30.0,30.0
2,Adult Black Dragon,14.0,19,195,2.14,3,2,17,286.0,286.0
3,Adult Blue Dracolich,17.0,19,225,0.1,3,2,18,300.0,300.0
4,Adult Blue Dragon,16.0,19,225,0.1,3,2,18,303.0,303.0
5,Adult Brass Dragon,13.0,18,172,0.1,3,2,13,282.0,282.0
6,Adult Bronze Dragon,15.0,19,212,0.1,3,2,18,298.0,298.0
7,Adult Copper Dragon,14.0,18,184,1.12,3,2,17,291.0,291.0
8,Adult Gold Dragon,17.0,19,256,2.14,3,2,19,307.0,307.0
9,Adult Green Dragon,15.0,19,207,1.12,3,2,17,294.0,294.0
10,Adult Red Dragon,17.0,19,256,0.1,3,2,19,305.0,305.0
11,Adult Silver Dragon,16.0,19,243,0.1,3,2,19,302.0,302.0
12,Adult White Dragon,13.0,18,200,0.1,3,2,17,296.0,296.0
13,Air Elemental,5.0,15,90,5.2,2,2,2,158.0,158.0
14,Ancient Black Dragon,21.0,22,367,2.14,3,2,19,317.0,317.0
15,Ancient Blue Dragon,23.0,22,481,0.1,3,2,20,318.0,318.0
16,Ancient Brass Dragon,20.0,20,297,0.1,3,2,15,308.0,308.0
17,Ancient Bronze Dragon,22.0,22,444,0.1,3,2,20,319.0,319.0
18,Ancient Copper Dragon,21.0,21,350,1.12,3,2,19,316.0,316.0
19,Ancient Gold Dragon,24.0,22,546,2.14,3,2,21,321.0,321.0
20,Ancient Green Dragon,22.0,21,385,1.12,3,2,19,315.0,315.0
21,Ancient Red Dragon,24.0,22,546,0.1,3,2,21,320.0,320.0
22,Ancient Silver Dragon,23.0,22,487,0.1,3,2,21,322.0,322.0
23,Ancient White Dragon,20.0,20,333,0.1,3,2,19,311.0,311.0
24,Androsphinx,17.0,17,199,0.1,2,2,2,213.0,213.0
25,Animated Armor,1.0,18,33,0.11,2,2,2,127.0,127.0
26,Ankheg,2.0,14,39,0.11,1,5,10,171.0,171.0
27,Ape,0.5,12,19,2.14,2,5,10,163.0,163.0
28,Archmage,12.0,12,99,2.14,1,6,4,172.0,172.0
29,Assassin,8.0,15,78,3.16,2,6,4,214.0,214.0
30,Awakened Shrub,0.0,9,10,-1.8,1,1,1,22.0,22.0
31,Awakened Tree,2.0,13,59,-2.6,1,6,14,213.0,213.0
32,Axe Beak,0.25,11,19,1.12,1,4,6,83.0,83.0
33,Azer,2.0,17,39,1.12,1,5,7,173.0,173.0
34,Baboon,0.0,12,3,2.14,1,1,1,14.0,14.0
35,Badger,0.0,10,3,0.11,1,2,1,16.0,16.0
36,Balor,19.0,19,262,2.15,2,2,1,210.0,210.0
37,Bandit,0.125,12,11,1.12,1,3,4,46.0,46.0
38,Bandit Captain,2.0,15,65,3.16,2,3,4,186.0,186.0
39,Barbed Devil,5.0,15,110,3.17,3,3,4,230.0,230.0
40,Basilisk,3.0,12,52,-1.8,1,5,10,174.0,174.0
41,Bat,0.0,12,1,2.15,1,0,1,6.0,6.0
42,Bearded Devil,3.0,13,52,2.15,2,0,1,78.0,78.0
43,Behir,11.0,17,168,3.16,2,0,1,155.0,155.0
44,Berserker,2.0,13,67,1.12,1,5,9,196.0,196.0
45,Black Bear,0.5,11,19,0.1,2,5,9,148.0,148.0
46,Black Dragon Wyrmling,2.0,17,33,2.14,1,4,7,165.0,165.0
47,Black Pudding,4.0,7,85,-3.5,1,5,6,163.0,163.0
48,Blink Dog,0.25,13,22,3.17,1,3,4,82.0,82.0
49,Blood Hawk,0.125,12,7,2.14,1,4,4,40.0,40.0
50,Blue Dragon Wyrmling,3.0,17,52,0.1,1,5,8,201.0,201.0
51,Boar,0.25,11,11,0.11,1,5,8,89.0,89.0
52,Bone Devil,12.0,19,142,3.16,3,5,8,279.0,279.0
53,Brass Dragon Wyrmling,1.0,16,16,0.1,1,4,7,111.0,111.0
54,Bronze Dragon Wyrmling,2.0,17,32,0.1,1,5,8,170.0,170.0
55,Brown Bear,1.0,11,34,0.1,2,5,8,180.0,180.0
56,Bugbear,1.0,16,27,2.14,1,4,9,155.0,155.0
57,Bulette,5.0,17,94,0.11,1,7,30,271.0,271.0
58,Camel,0.125,9,15,-1.8,1,5,2,38.0,38.0
59,Carrion Crawler,2.0,13,51,1.13,2,5,2,134.0,134.0
60,Cat,0.0,12,2,2.15,1,0,1,12.0,12.0
61,Cave Bear,2.0,12,42,0.1,2,0,1,67.0,67.0
62,Centaur,2.0,12,45,2.14,2,0,1,71.0,71.0
63,Chain Devil,11.0,16,85,2.15,2,0,1,111.0,111.0
64,Chimera,6.0,14,114,0.11,3,0,1,136.0,136.0
65,Chuul,4.0,16,93,0.1,2,0,1,116.0,116.0
66,Clay Golem,9.0,14,133,-1.9,2,0,1,127.0,127.0
67,Cloaker,8.0,14,78,2.15,2,0,1,98.0,98.0
68,Cloud Giant,9.0,14,200,0.1,2,0,1,145.0,145.0
69,Cockatrice,0.5,11,27,1.12,1,3,3,73.0,73.0
70,Commoner,0.0,10,4,0.1,1,2,2,23.0,23.0
71,Constrictor Snake,0.25,12,13,2.14,1,4,6,80.0,80.0
72,Copper Dragon Wyrmling,1.0,16,22,1.12,1,4,7,131.0,131.0
73,Couatl,4.0,19,97,5.2,1,6,10,245.0,245.0
74,Crab,0.0,11,2,0.11,1,0,1,9.0,9.0
75,Crocodile,0.5,12,19,0.1,1,4,7,99.0,99.0
76,Cult Fanatic,2.0,13,22,2.14,2,4,7,157.0,157.0
77,Cultist,0.125,12,9,1.12,1,3,4,46.0,46.0
78,Darkmantle,0.5,11,22,1.12,1,5,6,102.0,102.0
79,Death Dog,1.0,12,39,2.14,2,5,6,170.0,170.0
80,Deep Gnome (Svirfneblin),0.5,15,16,2.14,1,4,6,104.0,104.0
81,Deer,0.0,13,4,3.16,1,2,2,22.0,22.0
82,Deva,10.0,17,136,4.18,2,2,2,195.0,195.0
83,Dire Wolf,1.0,14,37,2.15,1,5,10,173.0,173.0
84,Djinni,11.0,17,161,2.15,3,5,10,281.0,281.0
85,Doppelganger,3.0,14,52,4.18,2,5,10,216.0,216.0
86,Draft Horse,0.25,10,19,0.1,1,6,9,117.0,117.0
87,Dragon Turtle,17.0,20,341,0.1,3,6,9,313.0,313.0
88,Dretch,0.25,11,18,0.11,2,6,9,152.0,152.0
89,Drider,6.0,19,123,3.16,3,6,9,282.0,282.0
90,Drow,0.25,15,13,2.14,1,4,5,81.0,81.0
91,Druid,2.0,11,27,1.12,1,2,3,66.0,66.0
92,Dryad,1.0,11,22,1.12,1,2,2,47.0,47.0
93,Duergar,1.0,16,26,0.11,1,4,5,122.0,122.0
94,Dust Mephit,0.5,12,17,2.14,1,4,4,74.0,74.0
95,Eagle,0.0,12,3,2.15,1,4,4,30.0,30.0
96,Earth Elemental,5.0,17,126,-1.8,2,4,4,231.0,231.0
97,Efreeti,11.0,17,200,1.12,2,4,4,246.0,246.0
98,Elephant,4.0,12,76,-1.9,1,8,22,243.0,243.0
99,Elk,0.25,10,13,0.1,1,0,8,70.0,70.0
100,Erinyes,12.0,18,153,3.16,3,0,8,258.0,258.0
101,Ettercap,2.0,13,44,2.15,2,0,8,169.0,169.0
102,Ettin,4.0,12,85,-1.8,2,0,8,197.0,197.0
103,Fire Elemental,5.0,13,102,3.17,2,0,8,214.0,214.0
104,Fire Giant,9.0,18,162,-1.9,2,0,8,249.0,249.0
105,Flesh Golem,5.0,9,93,-1.9,2,0,8,195.0,195.0
106,Flying Snake,0.125,14,5,4.18,1,6,1,24.0,24.0
107,Flying Sword,0.25,17,17,2.15,1,3,5,100.0,100.0
108,Frog,0.0,11,1,1.13,1,3,5,19.0,19.0
109,Frost Giant,8.0,15,138,-1.9,2,3,5,229.0,229.0
110,Gargoyle,2.0,15,52,0.11,2,3,5,188.0,188.0
111,Gelatinous Cube,2.0,6,84,-4.3,1,4,10,179.0,179.0
112,Ghast,2.0,13,36,3.17,1,5,10,168.0,168.0
113,Ghost,4.0,11,45,1.13,1,5,17,189.0,189.0
114,Ghoul,1.0,12,22,2.15,1,0,7,93.0,93.0
115,Giant Ape,7.0,12,157,2.14,2,0,7,218.0,218.0
116,Giant Badger,0.25,10,13,0.1,2,0,7,90.0,90.0
117,Giant Bat,0.25,13,22,3.16,1,4,5,100.0,100.0
118,Giant Boar,2.0,12,42,0.1,1,5,10,166.0,166.0
119,Giant Centipede,0.25,13,4,2.14,1,5,10,52.0,52.0
120,Giant Constrictor Snake,2.0,12,60,2.14,1,6,13,210.0,210.0
121,Giant Crab,0.125,15,13,2.15,1,3,4,71.0,71.0
122,Giant Crocodile,5.0,14,85,-1.9,2,3,4,199.0,199.0
123,Giant Eagle,1.0,13,26,3.17,2,3,4,125.0,125.0
124,Giant Elk,2.0,15,42,3.16,1,6,22,227.0,227.0
125,Giant Fire Beetle,0.0,13,4,0.1,1,1,2,24.0,24.0
126,Giant Frog,0.25,11,18,1.13,1,3,4,68.0,68.0
127,Giant Goat,0.5,11,19,0.11,1,5,8,105.0,105.0
128,Giant Hyena,1.0,12,45,2.14,1,5,10,171.0,171.0
129,Giant Lizard,0.25,12,19,1.12,1,4,6,92.0,92.0
130,Giant Octopus,1.0,11,52,1.13,1,5,10,181.0,181.0
131,Giant Owl,0.25,12,19,2.15,1,3,8,103.0,103.0
132,Giant Poisonous Snake,0.25,14,11,4.18,1,6,6,88.0,88.0
133,Giant Rat,0.125,12,7,2.15,1,4,4,37.0,37.0
134,Giant Rat (Diseased),0.125,12,7,2.15,1,4,3,39.0,39.0
135,Giant Scorpion,3.0,15,52,1.13,3,4,6,219.0,219.0
136,Giant Sea Horse,0.5,13,16,2.15,1,3,4,65.0,65.0
137,Giant Shark,5.0,13,126,0.11,1,3,4,175.0,175.0
138,Giant Spider,1.0,14,26,3.16,1,5,7,134.0,134.0
139,Giant Toad,1.0,11,39,1.13,1,4,7,131.0,131.0
140,Giant Vulture,1.0,10,22,0.1,2,4,7,139.0,139.0
141,Giant Wasp,0.5,12,13,2.14,1,4,7,86.0,86.0
142,Giant Weasel,0.125,13,9,3.16,1,4,7,76.0,76.0
143,Giant Wolf Spider,0.25,13,11,3.16,1,4,7,81.0,81.0
144,Gibbering Mouther,2.0,9,67,-1.8,1,4,7,158.0,158.0
145,Glabrezu,9.0,17,157,2.15,2,4,7,259.0,259.0
